INSTNM,STABBR,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,UGDS,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,DEBT_MDN,MN_EARN_WNE_P10,MD_EARN_WNE_P10,MD_EARN_WNE_1YR,MD_EARN_WNE_5YR,FTFTPCTPELL,FTFTPCTFLOAN,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CONTROL,CONTROL_PEPS,GRAD_DEBT_MDN10YR_SUPP
Santa Fe College,FL,0,0,0,0,0,0,0,11038,13803,NA,2563,9189,8000,7092,6008,7125,39100,41631,42955,48475,0.3724,0.138,NA,NA,5103,1,Public,119.9048228
Suncoast Technical College,FL,0,0,0,0,0,0,0,1138,NA,20370,NA,NA,PS,PS,PS,PS,31000,40621,30483,38932,0.2995,0,NA,NA,NA,1,Public,PS
Seminole State College of Florida,FL,0,0,0,0,0,1,0,11898,9487,NA,3131,11456,8577,6981,6500,7704,35100,41733,41399,49463,0.4928,0.1778,NA,NA,3174,1,Public,117.1165851
Sheridan Technical College,FL,0,0,0,0,0,0,0,1297,NA,15384,NA,NA,PS,PS,PS,PS,31500,33166,28464,36043,0.2553,0,NA,NA,NA,1,Public,PS
St. John Vianney College Seminary,FL,0,0,0,0,0,0,0,42,NA,NA,23100,23100,PS,PS,PS,PS,NA,NA,NA,NA,0,0,12100,4000,NA,2,Private Nonprofit,PS
Saint Johns River State College,FL,0,0,0,0,0,0,0,3708,11676,NA,2830,10347,10175,7500,5500,8323,33300,41728,41450,47232,0.4062,0.0677,NA,NA,4671,1,Public,127.2199712
South Florida State College,FL,0,0,0,0,0,1,0,2098,10207,NA,3165,11859,5555,5495,4897,5387,31300,39990,37102,43676,0.6657,0.0395,NA,NA,3528,1,Public,78.11306231
University of South Florida,FL,0,0,0,0,0,0,0,36763,21383,NA,6410,17324,15000,14490,15000,14976,48500,57743,43017,57660,0.2848,0.2414,12622,4850,4850,1,Public,190.7027368
St. Thomas University,FL,0,0,0,0,0,1,0,1896,50684,NA,33760,33760,9500,8292,9250,9500,60500,54272,45143,58255,0.6617,0.7143,12460,5086,6901,2,Private Nonprofit,202.7568291
Stetson University,FL,0,0,0,0,0,0,0,2517,67631,NA,52320,52320,16000,15000,15000,15000,51800,51642,36146,54413,0.4458,0.6075,15290,3000,3000,2,Private Nonprofit,246.4886942
Southeastern University,FL,0,0,0,0,0,0,0,4931,42569,NA,30148,30148,12332,12500,12000,12000,37900,46744,34472,43308,0.4282,0.5393,10480,4080,2400,2,Private Nonprofit,227.9357817
Bene's Career Academy,FL,0,0,0,0,0,0,0,244,NA,26790,NA,NA,6333,PS,PS,6333,22500,19359,16489,19222,0.5901,0.5811,NA,NA,NA,3,Proprietary,67.14033979
Riveroak Technical College,FL,0,0,0,0,0,0,0,187,NA,14099,NA,NA,PS,PS,PS,PS,27000,31778,32403,32606,0.6178,0,NA,NA,NA,1,Public,PS
Tallahassee Community College,FL,0,0,0,0,0,1,0,9939,9388,NA,2026,8062,5500,4668,5500,5350,35100,37561,41966,42671,0.426,0.664,NA,NA,2000,1,Public,81.29356159
Talmudic College of Florida,FL,0,0,0,0,0,0,0,33,31000,NA,15250,15250,PS,PS,PS,PS,PS,NA,NA,NA,0.3,0,9750,5000,6500,2,Private Nonprofit,PS
